Numero,Link
10737, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-tiras-salto-medio-tiny-bow-baby-green/p/1090400090002U
10738, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-tiras-salto-medio-tiny-bow-bianco/p/1090400090003U
10739, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-rasteira-couro-tiras-tiny-bow-verano-rose/p/1073300590001U
10740, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-rasteira-couro-tiras-tiny-bow-baby-green/p/1073300590002U
10721, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-rasteira-esportiva-couro-tiras-fivelas-buriti/p/1139000020003U
10722, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-burnish-metalizada-rasteira-new-golden/p/1017609050004U
10723, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-burnish-rasteira-baby-green/p/1017609050002U
10724, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/sandalia-couro-tirinhas-salto-medio-gergelim/p/0269505910001U
10725, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/sandalia-couro-metalizado-tirinhas-salto-medio-new-golden/p/0269505910002U
10726, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-couro-tirinhas-salto-medio-preta/p/0269505910003U
10727, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-aberta-tresse-bico-redondo-panacota/p/1026002660001U
10728, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-aberta-tresse-bico-redondo-verano-rose/p/1026002660002U
10729, https://www.arezzo.com.br/c/sapatos/sapatos/sandalias/%5bpre-venda%5d-sandalia-aberta-tresse-metalizado-bico-redondo-platino/p/1026002660003U
10730, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/%5bpre-venda%5d-sandalia-rasteira-viper-skin-tiras-bianco/p/0316409150001U
10731, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/%5bpre-venda%5d-sandalia-rasteira-viper-skin-tiras-verano-rose/p/0316409150002U
10732, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/%5bpre-venda%5d-sandalia-rasteira-couro-pingente-coral-verano-rose/p/1017609020002U
10733, https://www.arezzo.com.br/c/sapatos/sapatos/rasteiras/%5bpre-venda%5d-sandalia-rasteira-couro-pingente-coral-coralina/p/1017609020003U
